1000,300
1050,310
1100,320
1150,330
1200,340
1250,350
1300,360
1350,370
1400,375
1450,380
1500,385
1550,390
1600,395
1650,400
1700,405
1750,410
1800,415
1850,420
1900,425
1950,430
2000,435
2050,440
2100,445
2150,450
2200,455
2250,460
2300,465
2350,470
2400,475
2450,480
2500,485
2550,490
2600,495
2650,500
2700,505
2750,510
2800,515
2850,520
2900,525
2950,530
3000,535
3050,540
3100,545
3150,550
3200,555
3250,560
3300,565
3350,570
3400,575
3450,580
3500,585
3550,590
3600,595
3650,600
3700,605
3750,610
3800,615
3850,620
3900,625
3950,630
4000,635
4050,640
4100,645
4150,650
4200,655
4250,660
4300,665
4350,670
4400,675
4450,680
4500,685
4550,690
4600,695
4650,700
4700,705
4750,710
4800,715
4850,720
4900,725
4950,730
5000,735
5050,730
5100,725
5150,720
5200,715
5250,710
5300,705
5350,700
5400,695
5450,690
5500,685
5550,680
5600,675
5650,670
5700,665
5750,660
5800,655
5850,650
5900,645
5950,640
6000,635
6050,630
6100,625
6150,620
6200,615
6250,610
6300,605
6350,600
6400,595
6450,590
6500,585
6550,580
6600,575
6650,570
6700,565
6750,560
6800,555
6850,550
6900,545
6950,540
7000,535
7050,530
7100,525
7150,520
7200,515
7250,510
7300,505
7350,500
7400,495
7450,490
7500,485
7550,480
7600,475
7650,470
7700,465
7750,460
7800,455
7850,450
7900,445
7950,440
8000,435
